Municipality,Region,Population,Census,Election Year,Candidate Name,Sex,Age,Position,Winner,ID Number,Size of Council,Number of Votes Obtained,Total Votes in Election,Eligible Voters,Campaign Spending,Type of Election,Incumbent,Years of Service,Acclaimed/Elected,,,,,,
Admiral's Beach,1,185,2006,2009,"Guitar, Keith",1,4,3,1,,5,1,1,1,,3,1,.,1,,,,,,
Admiral's Beach,1,185,2006,2009,"White, Elsie",2,3,3,1,,5,1,1,1,,3,2,.,1,,,,,,
Admiral's Beach,1,185,2006,2009,"Power, Rose",2,4,3,1,,5,1,1,1,,3,2,.,1,,,,,,
Admiral's Beach,1,185,2006,2009,"Bungay, Theresa",2,4,3,1,,5,1,1,1,,1,1,.,1,,,,,,
Admiral's Beach,1,185,2006,2009,"Linehan, Wanda",2,4,3,1,,5,1,1,1,,3,2,0,1,,,,,,
Admiral's Beach ,1,153,2011,2013,"Guitar, Keith",1,5,3,1,,5,1,1,1,,4,1,.,1,,,,,,
Admiral's Beach ,1,153,2011,2013,"White, Elsie ",2,3,3,1,,5,1,1,1,,4,1,.,1,,,,,,
Admiral's Beach ,1,153,2011,2013,"Bonnington, Jennifer",2,3,3,1,,5,1,1,1,,4,2,.,1,,,,,,
Admiral's Beach ,1,153,2011,2013,"Linehan, Wanda",2,5,3,1,,5,1,1,1,,4,1,.,1,,,,,,
Anchor Point,3,309,2006,2009,"Gros, Gerry",1,2,3,1,,7,1,1,1,,4,1,8,1,,,,,,
Anchor Point,3,309,2006,2009,"Genge, Jeffrey",1,4,3,1,,7,1,1,1,,4,2,0,1,,,,,,
Anchor Point,3,309,2006,2009,"Genge, Oscar",1,5,3,1,,7,1,1,1,,4,1,12,1,,,,,,
Anchor Point,3,309,2006,2009,"Genge, Roland Jr.",1,.,3,1,,7,1,1,1,,4,1,4,1,,,,,,
Anchor Point,3,309,2006,2009,"Genge, Enid",2,4,3,1,,7,1,1,1,,4,1,12,1,,,,,,
Anchor Point,3,309,2006,2009,"Genge, Marion",2,4,3,1,,7,1,1,1,,4,1,8,1,,,,,,
Anchor Point,3,309,2006,2009,"Genge, Maunda",2,2,3,1,,7,1,1,1,,4,1,4,1,,,,,,
Anchor Point,3,326,2011,2013,"Gros, Gerry",1,2,3,1,,7,1,1,1,,4,1,12,1,,,,,,
Anchor Point,3,326,2011,2013,"Genge, Jeffery",1,4,3,1,,7,1,1,1,,4,1,4,1,,,,,,
Anchor Point,3,326,2011,2013,"Genge, Oscar",1,5,3,1,,7,1,1,1,,4,1,13,1,,,,,,
Anchor Point,3,326,2011,2013,"Genge, Roland, Jr.",1,5,3,1,,7,1,1,1,,4,1,8,1,,,,,,
Anchor Point,3,326,2011,2013,"Genge, Enid",2,4,3,1,,7,1,1,1,,4,1,17,1,,,,,,
Anchor Point,3,314,2016,2017,"Genge, Jeff",1,.,3,1,,7,1,1,1,,4,1,.,1,,,,,,
Anchor Point,3,314,2016,2017,"Genge, Oscar",1,.,3,1,,7,1,1,1,,4,1,.,1,,,,,,
Anchor Point,3,314,2016,2017,"White, Deno",1,.,3,1,,7,1,1,1,,4,1,.,1,,,,,,
Anchor Point,3,314,2016,2017,"Dempster, Shawn",1,.,3,1,,7,1,1,1,,4,1,.,1,,,,,,
